늦다,-1
예쁘다,1
힘들다,-1
위험하다,-1
상처,-1
태우다,-1
배우다,1
망설이다,-1
놓치다,-1
그립다,1
고통,-1
용기,1
미소,1
행복하다,1
바보,-1
지다,-1
어렵다,-1
빛,1
눈물,-1
설레다,1
잃다,-1
아름답다,1
따뜻하다,1
후회,-1
걱정,-1
몰래,-1
울다,-1
거짓,-1
반하다,1
막히다,-1
아프다,-1
받다,1
이기다,1
해,-1
불행하다,-1
충분하다,1
웃다,1
행복,1
미안하다,-1
떨어지다,-1
괜찮다,1
강하다,1
낯설다,-1
믿다,1
솔직하다,1
두렵다,-1
편하다,1
달콤하다,1
버리다,-1
특별하다,1
싫다,-1
좋다,1
고맙다,1
신나다,1
거짓말,-1
무너지다,-1
없다,-1
많다,1
사랑,1
이상하다,-1
좋아하다,1
빚,-1
슬프다,-1
헤매다,-1
늦다,-1
예쁘다,1
힘들다,-1
그리움,1
멋지다,1
위험하다,-1
상처,-1
태우다,-1
망설이다,-1
질투,-1
놓치다,-1
그립다,1
이루다,1
용기,1
미소,1
죽다,-1
행복하다,1
바보,-1
지다,-1
외롭다,-1
어렵다,-1
빛,1
눈물,-1
설레다,1
잃다,-1
아름답다,1
따뜻하다,1
후회,-1
걱정,-1
몰래,-1
짧다,-1
울다,-1
짜릿하다,1
거짓,-1
반하다,1
막히다,-1
급하다,-1
아프다,-1
받다,1
이기다,1
해,-1
괴롭히다,-1
불행하다,-1
충분하다,1
웃다,1
행복,1
미안하다,-1
떨어지다,-1
괜찮다,1
강하다,1
낯설다,-1
화,-1
믿다,1
솔직하다,1
두렵다,-1
달콤하다,1
버리다,-1
특별하다,1
싫다,-1
좋다,1
신나다,1
거짓말,-1
무너지다,-1
없다,-1
많다,1
사랑,1
좋아하다,1
슬프다,-1
더럽다,-1
예쁘다,1
선명하다,1
힘들다,-1
위험하다,-1
상처,-1
태우다,-1
지겹다,-1
질투,-1
그립다,1
덥다,-1
죽다,-1
행복하다,1
바보,-1
지다,-1
외롭다,-1
어렵다,-1
빛,1
눈물,-1
설레다,1
아름답다,1
따뜻하다,1
후회,-1
걱정,-1
덕,1
착하다,1
몰래,-1
울다,-1
막히다,-1
아프다,-1
받다,1
해,-1
괴롭히다,-1
소중하다,1
충분하다,1
웃다,1
행복,1
미안하다,-1
떨어지다,-1
괜찮다,1
강하다,1
낯설다,-1
믿다,1
솔직하다,1
두렵다,-1
달콤하다,1
버리다,-1
빌어먹을,-1
특별하다,1
싫다,-1
좋다,1
완벽하다,1
신나다,1
거짓말,-1
무너지다,-1
없다,-1
많다,1
사랑,1
좋아하다,1
사랑스럽다,1
겁나다,-1
슬프다,-1
더럽다,-1
예쁘다,1
선명하다,1
힘들다,-1
그리움,1
멋지다,1
위험하다,-1
상처,-1
지겹다,-1
배우다,1
질투,-1
그립다,1
덥다,-1
죽다,-1
행복하다,1
바보,-1
지다,-1
외롭다,-1
어렵다,-1
빛,1
눈물,-1
설레다,1
아름답다,1
후회,-1
걱정,-1
덕,1
착하다,1
몰래,-1
울다,-1
막히다,-1
아프다,-1
받다,1
해,-1
괴롭히다,-1
소중하다,1
충분하다,1
웃다,1
미안하다,-1
떨어지다,-1
괜찮다,1
강하다,1
낯설다,-1
믿다,1
솔직하다,1
두렵다,-1
달콤하다,1
버리다,-1
특별하다,1
싫다,-1
나쁘다,-1
좋다,1
완벽하다,1
신나다,1
거짓말,-1
무너지다,-1
없다,-1
많다,1
사랑,1
이상하다,-1
좋아하다,1
사랑스럽다,1
겁나다,-1
빚,-1
슬프다,-1
짐,-1
더럽다,-1
아픔,-1
예쁘다,1
선명하다,1
힘들다,-1
그리움,1
멋지다,1
위험하다,-1
상처,-1
태우다,-1
지겹다,-1
배우다,1
아쉬움,-1
질투,-1
그립다,1
덥다,-1
미소,1
죽다,-1
행복하다,1
바보,-1
지다,-1
외롭다,-1
어렵다,-1
빛,1
눈물,-1
설레다,1
잃다,-1
아름답다,1
따뜻하다,1
부서지다,-1
후회,-1
걱정,-1
덕,1
고르다,1
희다,1
다치다,-1
울다,-1
거짓,-1
아프다,-1
받다,1
이기다,1
해,-1
소중하다,1
충분하다,1
불안하다,-1
웃다,1
미안하다,-1
떨어지다,-1
괜찮다,1
욕,-1
낯설다,-1
믿다,1
솔직하다,1
맑다,1
두렵다,-1
편하다,1
달콤하다,1
버리다,-1
특별하다,1
싫다,-1
나쁘다,-1
좋다,1
완벽하다,1
거짓말,-1
무너지다,-1
없다,-1
많다,1
사랑,1
좋아하다,1
사랑스럽다,1
겁나다,-1
슬프다,-1
이쁘다,1
짐,-1
더럽다,-1
아픔,-1
예쁘다,1
환하다,1
선명하다,1
힘들다,-1
멋지다,1
상처,-1
배우다,1
아쉬움,-1
질투,-1
그립다,1
덥다,-1
미소,1
죽다,-1
행복하다,1
바보,-1
지다,-1
외롭다,-1
어렵다,-1
빛,1
애쓰다,-1
눈물,-1
설레다,1
잃다,-1
아름답다,1
따뜻하다,1
부서지다,-1
후회,-1
걱정,-1
덕,1
고르다,1
착하다,1
다치다,-1
울다,-1
거짓,-1
아프다,-1
받다,1
이기다,1
해,-1
소중하다,1
충분하다,1
불안하다,-1
웃다,1
미안하다,-1
떨어지다,-1
괜찮다,1
낯설다,-1
겁,-1
믿다,1
솔직하다,1
맑다,1
두렵다,-1
버리다,-1
특별하다,1
싫다,-1
나쁘다,-1
좋다,1
완벽하다,1
거짓말,-1
무너지다,-1
없다,-1
많다,1
사랑,1
이상하다,-1
좋아하다,1
억지로,-1
미워하다,-1
빚,-1
슬프다,-1
헤매다,-1
이쁘다,1
늦다,-1
더럽다,-1
아픔,-1
예쁘다,1
환하다,1
선명하다,1
힘들다,-1
멋지다,1
상처,-1
태우다,-1
아쉽다,-1
아쉬움,-1
질투,-1
놓치다,-1
그립다,1
덥다,-1
미소,1
죽다,-1
포기,-1
행복하다,1
바보,-1
지다,-1
외롭다,-1
어렵다,-1
빛,1
애쓰다,-1
눈물,-1
설레다,1
잃다,-1
아름답다,1
따뜻하다,1
부서지다,-1
후회,-1
걱정,-1
덕,1
고르다,1
착하다,1
몰래,-1
부족하다,-1
다치다,-1
울다,-1
거짓,-1
아프다,-1
받다,1
이기다,1
해,-1
소중하다,1
기쁨,1
충분하다,1
불안하다,-1
웃다,1
행복,1
미안하다,-1
떨어지다,-1
괜찮다,1
낯설다,-1
믿다,1
솔직하다,1
맑다,1
두렵다,-1
편하다,1
달콤하다,1
버리다,-1
특별하다,1
싫다,-1
좋다,1
완벽하다,1
거짓말,-1
무너지다,-1
없다,-1
많다,1
사랑,1
좋아하다,1
미워하다,-1
슬프다,-1
이쁘다,1
늦다,-1
더럽다,-1
아픔,-1
예쁘다,1
환하다,1
선명하다,1
힘들다,-1
멋지다,1
상처,-1
놓치다,-1
그립다,1
덥다,-1
미소,1
행복하다,1
바보,-1
지다,-1
외롭다,-1
어렵다,-1
멍청이,-1
빛,1
애쓰다,-1
눈물,-1
설레다,1
잃다,-1
아름답다,1
따뜻하다,1
부서지다,-1
후회,-1
걱정,-1
덕,1
고르다,1
착하다,1
몰래,-1
부족하다,-1
울다,-1
거짓,-1
아프다,-1
받다,1
이기다,1
해,-1
소중하다,1
충분하다,1
웃다,1
행복,1
미안하다,-1
떨어지다,-1
괜찮다,1
겁,-1
믿다,1
솔직하다,1
맑다,1
두렵다,-1
편하다,1
버리다,-1
싫다,-1
좋다,1
완벽하다,1
거짓말,-1
무너지다,-1
없다,-1
많다,1
사랑,1
좋아하다,1
밝다,1
미워하다,-1
슬프다,-1
이쁘다,1
늦다,-1
더럽다,-1
아픔,-1
예쁘다,1
선명하다,1
힘들다,-1
상처,-1
아쉽다,-1
그립다,1
덥다,-1
미소,1
행복하다,1
바보,-1
지다,-1
외롭다,-1
어렵다,-1
멍청이,-1
빛,1
애쓰다,-1
눈물,-1
설레다,1
잃다,-1
아름답다,1
따뜻하다,1
부서지다,-1
후회,-1
걱정,-1
덕,1
고르다,1
착하다,1
울다,-1
거짓,-1
아프다,-1
받다,1
이기다,1
해,-1
소중하다,1
충분하다,1
불안하다,-1
웃다,1
행복,1
미안하다,-1
괜찮다,1
겁,-1
솔직하다,1
두렵다,-1
편하다,1
버리다,-1
싫다,-1
좋다,1
완벽하다,1
거짓말,-1
없다,-1
많다,1
사랑,1
좋아하다,1
밝다,1
미워하다,-1
슬프다,-1
이쁘다,1
더럽다,-1
아픔,-1
예쁘다,1
힘들다,-1
상처,-1
아쉽다,-1
그립다,1
즐기다,1
미소,1
행복하다,1
바보,-1
지다,-1
외롭다,-1
멍청이,-1
빛,1
애쓰다,-1
눈물,-1
설레다,1
잃다,-1
아름답다,1
따뜻하다,1
후회,-1
걱정,-1
덕,1
고르다,1
짧다,-1
울다,-1
아프다,-1
받다,1
멋,1
해,-1
충분하다,1
어색하다,-1
불안하다,-1
웃다,1
미안하다,-1
괜찮다,1
믿다,1
솔직하다,1
두렵다,-1
편하다,1
버리다,-1
특별하다,1
싫다,-1
높다,1
놀다,1
좋다,1
완벽하다,1
고맙다,1
거짓말,-1
없다,-1
많다,1
사랑,1
좋아하다,1
밝다,1
미워하다,-1
슬프다,-1
헤매다,-1
이쁘다,1
늦다,-1
더럽다,-1
아픔,-1
예쁘다,1
힘들다,-1
멋지다,1
상처,-1
흘리다,-1
아쉽다,-1
놓치다,-1
그립다,1
즐기다,1
잃어버리다,-1
이루다,1
미소,1
행복하다,1
바보,-1
지다,-1
